Year,Month,Day,VPM1,VPM2,Amplitude
1980,8,27,-1.34497,0.31538,1.38145
1980,8,28,-1.2056,0.59241,1.34329
1980,8,29,-0.8913,0.50489,1.02437
1980,8,30,-0.34498,0.38559,0.51739
1980,8,31,-0.45603,0.41363,0.61567
1980,9,1,-0.65518,0.35733,0.74629
1980,9,2,-0.86584,-0.13342,0.87606
1980,9,3,-0.93531,-0.18242,0.95294
1980,9,4,-0.95213,-0.10874,0.95832
1980,9,5,-0.80631,-0.08146,0.81042
1980,9,6,-0.64438,0.35061,0.73359
1980,9,7,-0.57437,0.57104,0.80993
1980,9,8,-0.53227,1.01157,1.14307
1980,9,9,-0.54823,1.32742,1.43618
1980,9,10,-0.44848,1.40729,1.47702
1980,9,11,0.13813,1.71913,1.72467
1980,9,12,0.21529,1.62552,1.63972
1980,9,13,0.13978,1.51696,1.52339
1980,9,14,0.63275,1.31801,1.46203
1980,9,15,0.74198,1.30278,1.49926
1980,9,16,0.94904,1.19468,1.52576
1980,9,17,1.1992,0.84653,1.46789
1980,9,18,1.39653,0.30729,1.42994
1980,9,19,1.46042,-0.21201,1.47573
1980,9,20,1.41784,-0.5306,1.51387
1980,9,21,1.59666,-0.96108,1.8636
1980,9,22,1.65934,-1.10355,1.9928
1980,9,23,1.75866,-1.08516,2.06651
1980,9,24,1.53744,-0.59371,1.64809
1980,9,25,1.30325,-0.31446,1.34065
1980,9,26,0.96929,-0.15478,0.98157
1980,9,27,0.79069,0.10188,0.79722
1980,9,28,1.05259,0.07469,1.05523
1980,9,29,1.22208,0.21797,1.24137
1980,9,30,1.36826,0.31997,1.40517
1980,10,1,1.24073,0.20794,1.25804
1980,10,2,1.26482,-0.0394,1.26543
1980,10,3,1.31068,0.1021,1.31465
1980,10,4,1.11899,-0.3982,1.18773
1980,10,5,1.37759,-0.73494,1.56138
1980,10,6,1.39533,-0.90801,1.66476
1980,10,7,1.1938,-0.7908,1.43197
1980,10,8,1.16793,-0.84671,1.44256
1980,10,9,0.82908,-1.01575,1.31115
1980,10,10,0.79544,-0.88013,1.18632
1980,10,11,0.56511,-0.87982,1.04567
1980,10,12,0.31609,-0.79783,0.85816
1980,10,13,0.31819,-0.89981,0.95441
1980,10,14,0.39655,-0.87344,0.95924
1980,10,15,0.22132,-0.83813,0.86686
