Year,Month,Day,OMI1,OMI2,Amplitude
1980,1,4,0.15727,0.66037,0.67884
1980,1,5,0.1864,0.70147,0.72581
1980,1,6,0.21158,0.73175,0.76172
1980,1,7,0.23334,0.75204,0.78741
1980,1,8,0.25309,0.76359,0.80444
1980,1,9,0.27259,0.76803,0.81497
1980,1,10,0.29351,0.76733,0.82155
1980,1,11,0.31723,0.76347,0.82675
1980,1,12,0.34474,0.7582,0.83289
1980,1,13,0.37662,0.75267,0.84164
1980,1,14,0.41301,0.7473,0.85383
1980,1,15,0.45358,0.74161,0.86932
1980,1,16,0.49739,0.73434,0.88694
1980,1,17,0.54288,0.72355,0.90457
1980,1,18,0.58782,0.70687,0.91935
1980,1,19,0.62935,0.68177,0.92784
1980,1,20,0.66405,0.64588,0.92635
1980,1,21,0.68807,0.59731,0.91116
1980,1,22,0.69731,0.53495,0.87887
1980,1,23,0.6876,0.45879,0.82661
1980,1,24,0.655,0.37009,0.75232
1980,1,25,0.59619,0.27146,0.65508
1980,1,26,0.50887,0.16679,0.53551
1980,1,27,0.39225,0.0609,0.39695
1980,1,28,0.24744,-0.04102,0.25081
1980,1,29,0.07773,-0.13423,0.15511
1980,1,30,-0.11129,-0.21536,0.24241
1980,1,31,-0.31194,-0.28344,0.42148
1980,2,1,-0.5148,-0.34081,0.61739
1980,2,2,-0.70937,-0.39328,0.8111
1980,2,3,-0.88503,-0.44845,0.99216
1980,2,4,-1.03276,-0.51079,1.15217
1980,2,5,-1.14799,-0.57483,1.28386
1980,2,6,-1.23222,-0.62395,1.38119
1980,2,7,-1.28968,-0.63953,1.43954
1980,2,8,-1.32144,-0.6113,1.45598
1980,2,9,-1.32363,-0.53964,1.42941
1980,2,10,-1.28993,-0.43273,1.36058
1980,2,11,-1.21479,-0.30329,1.25208
1980,2,12,-1.09548,-0.16631,1.10804
1980,2,13,-0.93317,-0.03739,0.93391
1980,2,14,-0.73299,0.06877,0.73621
1980,2,15,-0.50365,0.13971,0.52267
1980,2,16,-0.25646,0.16646,0.30574
1980,2,17,-0.004,0.14456,0.14462
1980,2,18,0.24156,0.07494,0.25292
1980,2,19,0.47047,-0.03537,0.4718
1980,2,20,0.67786,-0.17243,0.69945
1980,2,21,0.86635,-0.31405,0.92151
1980,2,22,1.04724,-0.42881,1.13164
1980,2,23,1.2331,-0.48337,1.32446
1980,2,24,1.41672,-0.4761,1.49458
1980,2,25,1.57029,-0.46059,1.63645
1980,2,26,1.67571,-0.4854,1.7446
1980,2,27,1.72763,-0.55264,1.81387
1980,2,28,1.72447,-0.641,1.83975
1980,2,29,1.66746,-0.72599,1.81865
1980,3,1,1.56144,-0.78615,1.74818
1980,3,2,1.41303,-0.80718,1.62733
1980,3,3,1.23495,-0.77364,1.45727
1980,3,4,1.03982,-0.67904,1.2419
1980,3,5,0.84028,-0.5224,0.98943
1980,3,6,0.64753,-0.30806,0.71707
1980,3,7,0.47,-0.04506,0.47215
1980,3,8,0.31213,0.25379,0.40229
1980,3,9,0.17328,0.573,0.59862
1980,3,10,0.04657,0.89547,0.89668
1980,3,11,-0.08257,1.20308,1.20591
1980,3,12,-0.23865,1.47567,1.49484
1980,3,13,-0.45806,1.68624,1.74735
1980,3,14,-0.78031,1.79111,1.9537
1980,3,15,-1.19705,1.73596,2.10867
1980,3,16,-1.59697,1.52938,2.21118
1980,3,17,-1.87817,1.26463,2.26424
1980,3,18,-2.04217,1.00182,2.27467
1980,3,19,-2.12532,0.74629,2.25254
1980,3,20,-2.1553,0.48958,2.2102
1980,3,21,-2.14869,0.22666,2.16061
1980,3,22,-2.11467,-0.04207,2.11509
1980,3,23,-2.05738,-0.31228,2.08094
1980,3,24,-1.97724,-0.57743,2.05983
1980,3,25,-1.87194,-0.83021,2.04778
1980,3,26,-1.73728,-1.06361,2.03701
1980,3,27,-1.56822,-1.27146,2.01889
1980,3,28,-1.35973,-1.44865,1.98682
1980,3,29,-1.10784,-1.59087,1.9386
